name,Z,row,group,atomic_radius_calculated,mendeleev_no,electrical_resistivity,reflectivity,refractive_index,poissons_ratio,molar_volume,thermal_conductivity,boiling_point,melting_point,critical_temperature,superconduction_temperature,liquid_range,bulk_modulus,youngs_modulus,brinell_hardness,rigidity_modulus,mineral_hardness,vickers_hardness,density_of_solid,coefficient_of_linear_thermal_expansion,ionization_energies,atomic_mass,atomic_radius,average_anionic_radius,average_cationic_radius,average_ionic_radius,electron_affinity
Ba,56.0,6.0,2.0,2.53,14.0,3.4e-07,,,,38.16,18.0,2143.0,1000.0,,,1143.0,9.6,13.0,,4.9,1.25,,3510.0,2.06e-05,5.2116646,137.327,2.15,0.0,1.49,1.49,0.144626
La,57.0,6.0,3.0,,33.0,6.15e-07,,,0.28,22.39,13.0,3743.0,1193.0,,6.0,2550.0,28.0,37.0,363.0,14.0,2.5,491.0,6146.0,1.21e-05,5.5769,138.90547,1.95,0.0,1.172,1.172,0.5575462
Ce,58.0,6.0,3.0,,32.0,7.4e-07,,,0.24,20.69,11.0,3633.0,1068.0,,0.022,2565.0,22.0,34.0,412.0,14.0,2.5,270.0,6689.0,6.3e-06,5.5386,140.116,1.85,0.0,1.08,1.08,0.572
Pr,59.0,6.0,3.0,2.47,31.0,7e-07,,,0.28,20.8,13.0,3563.0,1208.0,,,2355.0,29.0,37.0,481.0,15.0,,400.0,6640.0,6.7e-06,5.4702,140.90765,1.85,0.0,1.06,1.06,0.1092346
Nd,60.0,6.0,3.0,2.06,30.0,6.43e-07,,,0.28,20.59,17.0,3373.0,1297.0,,,2076.0,32.0,41.0,265.0,16.0,,343.0,6800.0,9.6e-06,5.525,144.242,1.85,0.0,1.2765,1.2765,0.0974933
Pm,61.0,6.0,3.0,2.05,29.0,7.5e-07,,,0.28,20.23,15.0,3273.0,1373.0,,,1900.0,33.0,46.0,,18.0,,,7264.0,1.1e-05,5.58187,145.0,1.85,0.0,1.11,1.11,0.129
Sm,62.0,6.0,3.0,2.38,28.0,9.4e-07,,,0.27,19.98,13.0,2076.0,1345.0,,,731.0,38.0,50.0,441.0,20.0,,412.0,7353.0,1.27e-05,5.64371,150.36,1.85,0.0,1.229,1.229,0.162
Eu,63.0,6.0,3.0,2.31,18.0,9e-07,,,0.15,28.97,14.0,1800.0,1099.0,,,701.0,8.3,18.0,,7.9,,167.0,5244.0,3.5e-05,5.670385,151.964,1.85,0.0,1.1985000000000001,1.1985000000000001,0.11613
Gd,64.0,6.0,3.0,2.33,27.0,1.31e-06,,,0.26,19.9,11.0,3523.0,1585.0,,1.083,1938.0,38.0,55.0,,22.0,,570.0,7901.0,9.4e-06,6.1498,157.25,1.8,0.0,1.075,1.075,0.137
Tb,65.0,6.0,3.0,2.25,26.0,1.15e-06,,,0.26,19.3,11.0,3503.0,1629.0,,,1874.0,38.7,56.0,677.0,22.0,,863.0,8219.0,1.03e-05,5.8638,158.92535,1.75,0.0,0.9815,0.9815,0.131318
Dy,66.0,6.0,3.0,2.28,24.0,9.26e-07,,,0.25,19.01,11.0,2840.0,1680.0,,,1160.0,41.0,61.0,500.0,25.0,,540.0,8551.0,9.9e-06,5.93905,162.5,1.75,0.0,1.131,1.131,0.352
Ho,67.0,6.0,3.0,,23.0,8.14e-07,,,0.23,18.74,16.0,2993.0,1734.0,,,1259.0,40.0,65.0,746.0,26.0,,481.0,8795.0,1.12e-05,6.0215,164.93032,1.75,0.0,1.041,1.041,0.338
Er,68.0,6.0,3.0,2.26,22.0,8.6e-07,,,0.24,18.46,15.0,3141.0,1802.0,,,1371.0,44.0,70.0,814.0,28.0,,589.0,9066.0,1.22e-05,6.1077,167.259,1.75,0.0,1.03,1.03,0.312
Tm,69.0,6.0,3.0,2.22,21.0,6.76e-07,,,0.21,19.1,17.0,2223.0,1818.0,,,405.0,45.0,74.0,471.0,31.0,,520.0,9321.0,1.33e-05,6.18431,168.93421,1.75,0.0,1.095,1.095,1.02922
Yb,70.0,6.0,3.0,2.22,17.0,2.5e-07,,,0.21,24.84,39.0,1469.0,1097.0,,,372.0,31.0,24.0,343.0,9.9,,206.0,6570.0,2.63e-05,6.25416,173.04,1.75,0.0,1.084,1.084,-0.02
Lu,71.0,6.0,3.0,2.17,20.0,5.8e-07,,,0.26,17.78,16.0,3675.0,1925.0,,0.022,1750.0,48.0,69.0,893.0,27.0,,1160.0,9841.0,9.9e-06,5.425871,174.967,1.75,0.0,1.001,1.001,0.23887
Hf,72.0,6.0,4.0,2.08,50.0,3.4e-07,,,0.37,13.44,23.0,4876.0,2506.0,,0.128,2370.0,110.0,78.0,1700.0,30.0,5.5,1760.0,13310.0,5.9e-06,6.82507,178.49,1.55,0.0,0.85,0.85,0.17807
Ta,73.0,6.0,5.0,2.0,52.0,1.35e-07,78.0,,0.34,10.85,57.0,5731.0,3290.0,,4.47,2441.0,200.0,186.0,800.0,69.0,6.5,873.0,16650.0,6.3e-06,7.549571,180.94788,1.45,0.0,0.82,0.82,0.32312
